code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz002020,2016-10-18,12.610000,13.050000,12.610000,12.930000,0.020521,11676386.000000,150583322.940000,5990349824.190000,8264544205.980000,0.025203,113.963003,2016-06-30,2016-08-18,31.992359,2.823653,33.913865,3.585691,12.930000
sz002021,2016-10-18,8.680000,8.740000,8.620000,8.710000,0.003456,5803386.000000,50376367.480000,4945130284.900000,5990868998.400000,0.010222,78.955859,2016-06-30,2016-08-25,-14.020369,8.129216,248.325018,6.178181,8.710000
sz002022,2016-10-18,22.600000,22.930000,22.460000,22.870000,0.012843,6249050.000000,142084948.040000,8693490562.170000,11722457443.910000,0.016439,274.754710,2016-06-30,2016-08-26,52.401367,10.142433,69.648317,6.669583,22.870000
sz002023,2016-10-18,16.700000,16.950000,16.490000,16.880000,0.008966,6228813.000000,104261904.450000,11128655110.080000,12774632130.639999,0.009448,170.772029,2016-06-30,2016-08-09,337.877059,44.597212,4746.906637,3.867213,16.880000
sz002024,2016-10-18,11.000000,11.190000,10.990000,11.190000,0.018198,41248348.000000,458485236.640000,56149348272.209999,104179343739.449997,0.008220,955.195647,2016-06-30,2016-08-31,192.931034,0.609500,-37.059238,1.760043,11.190000
sz002026,2016-10-18,11.840000,12.030000,11.840000,12.020000,0.018644,3768561.000000,45072912.250000,4256693697.020000,5049582996.380000,0.010642,42.035746,2016-06-30,2016-08-23,53.220222,5.394000,47.694627,2.311805,12.020000
sz002027,2016-10-18,15.550000,15.800000,15.410000,15.680000,0.005128,10021094.000000,156322884.450000,7950468030.400000,136993549280.000000,0.019764,112.684153,2016-06-30,2016-08-31,0.951578,0.571357,1.183174,0.966047,15.680000
sz002028,2016-10-18,11.140000,11.370000,11.130000,11.370000,0.021563,10842450.000000,122489785.890000,6530471949.300000,8589858082.800000,0.018877,219.666535,2016-06-30,2016-08-20,19.750693,1.781652,19.364167,2.168068,11.370000
sz002029,2016-10-18,10.550000,10.780000,10.520000,10.780000,0.016981,10516811.000000,112233812.360000,8133247970.540000,8146122600.000000,0.013939,100.307258,2016-06-30,2016-08-23,30.541964,3.185823,13.831756,1.612324,10.780000
sz002030,2016-10-18,27.010000,27.320000,26.920000,27.300000,0.008869,9265358.000000,251721108.550000,18956400808.799999,19790328885.599998,0.013343,327.278861,2016-06-30,2016-08-27,180.956484,12.202895,-139.499946,14.276003,27.300000
sz002031,2016-10-18,3.700000,3.740000,3.680000,3.740000,0.013550,13745872.000000,51015597.340000,7000744544.200000,8225739805.800000,0.007343,55.432450,2016-06-30,2016-08-23,41.761579,2.776386,21.746588,2.805491,3.740000
sz002032,2016-10-18,37.000000,37.700000,37.000000,37.670000,0.003998,597829.000000,22336460.320000,15748628717.299999,23798613919.000000,0.001430,225.260725,2016-06-30,2016-08-31,24.697688,2.159310,19.410462,6.061337,37.670000
sz002033,2016-10-18,15.750000,16.090000,15.680000,16.060000,0.022930,13597072.000000,216443754.680000,6788323717.780000,6788323717.780000,0.032168,62.798113,2016-06-30,2016-08-16,33.208508,8.636410,16.336479,3.189926,16.060000
sz002035,2016-10-18,24.900000,25.710000,24.900000,25.640000,0.024780,2863193.000000,72558385.770000,8593037059.639999,9311968583.280001,0.008543,161.037212,2016-06-30,2016-08-25,36.658474,2.403576,18.132174,5.983664,25.640000
sz002036,2016-10-18,26.330000,26.940000,25.810000,26.800000,0.019787,8828442.000000,232471904.770000,6901257092.400000,15600452190.000000,0.034284,111.208196,2016-06-30,2016-08-23,-821.053277,20.239063,-43.586662,10.502390,26.800000
sz002037,2016-10-18,18.500000,18.770000,18.350000,18.530000,0.010911,3614381.000000,66973052.420000,6066131986.270000,6066132004.800000,0.011041,74.179353,2016-06-30,2016-08-22,-1010.249700,1.556872,8.797100,3.087459,18.530000
sz002038,2016-10-18,31.300000,31.720000,31.210000,31.650000,0.012800,3716554.000000,117033375.640000,17945431470.750000,21677085000.000000,0.006555,434.457884,2016-06-30,2016-08-26,83.297146,16.157497,71.071051,5.667777,31.650000
sz002039,2016-10-18,17.180000,17.320000,17.100000,17.270000,0.006410,4011179.000000,69129334.000000,5273793091.600000,5274234892.740000,0.013135,39.537177,2016-06-30,2016-08-20,14.271748,1.953463,2.279732,2.512475,17.270000
sz002040,2016-10-18,14.940000,15.200000,14.810000,15.070000,0.008701,3641067.000000,54788257.360000,3705291040.000000,3705291040.000000,0.014809,34.396120,2016-06-30,2016-08-19,143.899318,23.688748,94.590693,5.435331,15.070000
sz002041,2016-10-18,17.330000,17.520000,17.260000,17.470000,0.005757,4575830.000000,79420911.000000,15266359391.740000,15373600000.000000,0.005236,234.107261,2016-06-30,2016-08-22,36.633339,10.043029,27.457847,6.207583,17.470000
sz002042,2016-10-18,11.780000,12.120000,11.770000,12.120000,0.027990,9633516.000000,115583419.800000,10084194473.639999,10095869984.760000,0.011578,50.612365,2016-06-30,2016-08-18,24.601245,1.448897,24.390538,2.612576,12.120000
sz002043,2016-10-18,13.230000,13.350000,13.100000,13.330000,0.007559,14539191.000000,192944847.600000,6240789132.570000,11037249117.719999,0.031055,87.547051,2016-06-30,2016-08-23,50.140303,3.706659,30.262029,7.784851,13.330000
sz002044,2016-10-18,13.980000,14.140000,13.900000,14.090000,0.007868,12829651.000000,180167249.290000,13650142367.469999,34118691327.540001,0.013243,94.104746,2016-06-30,2016-08-24,81.697262,8.117767,23.976000,11.287351,14.090000
